,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,"*Flora paused a few minutes before replying. “I do not like it,” she said at last, “but I will do what you say.” She sat down again at the table. “And now, messieurs et mesdames,” said Poirot rapidly, “I will continue with what I was about to say. Understand this,*","*He laughed and twinkled. “I always like to employ the expert,” he remarked obscurely, but he refused to explain the remark. “You got all the local gossip anyway,” I remarked. “True, and untrue.” “And a great deal of valuable information,” he added quietly. “Such as——?” He shook his head. “Why*",3265,3683,1000,0
1,69087,1,0,"*Was seen in neighborhood of Fernly Park somewhere about nine-thirty. Not been seen since. Believed to be in serious money difficulties. I’ve got a pair of his shoes here—shoes with rubber studs in them. He had two pairs, almost exactly alike. I’m going up now to compare them with those*","*Poirot went next to the window. “The electric light was on, of course, when you discovered the body?” he asked over his shoulder. I assented, and joined him where he was studying the marks on the window-sill. “The rubber studs are the same pattern as those in Captain Paton’s shoes,”*",12758,13126,1000,1
2,69087,2,0,"*no. But surely—oh! I see, they might think—they might think——” I saw the dawning horror in her eyes. Poirot finished the sentence for her. “That it was _you_ who entered by the window and stabbed Mr. Ackroyd as he sat in his chair? Yes, they might think just that.” “Nobody*","*“I was so cruel to him that night—so hard and bitter. I wouldn’t listen to what he was trying to say—wouldn’t believe that he really cared. I just stood there telling him what I thought of him, and saying the coldest, cruelest things that came into my mind—trying my best*",12735,12913,1000,1
3,69087,3,0,"*But if the girl was spiteful, she may have made out all sorts of things.” I was shrewd enough to see that a very real anxiety lay behind these outpourings. Poirot had been justified in his premises. Of the six people round the table yesterday, Mrs. Ackroyd at least had*","*I couldn’t sleep at nights. And a dreadful fluttering round the heart. And then I got a letter from a Scotch gentleman—as a matter of fact there were two letters—both Scotch gentlemen. Mr. Bruce MacPherson was one, and the other were Colin MacDonald. Quite a coincidence.” “Hardly that,” I said*",16388,16711,1000,1
4,69087,4,0,"*“No, to his own house.” “How do you know?” “The side window,” said Caroline briefly. It seemed to me that we had now exhausted the topic. Caroline thought otherwise. “Aren’t you going across?” “Across where?” “To The Larches, of course.” “My dear Caroline,” I said, “what for?” “Mr. Raymond wanted*","*“Oh, it’s of no consequence, really. But, as a matter of fact, my conscience has been pricking me ever since yesterday afternoon. You accused us all of keeping back something, M. Poirot. I plead guilty. I’ve had something up my sleeve.” “And what is that, M. Raymond?” “As I say,*",5143,6098,1000,1
5,69087,5,0,"*But don’t you think you’re being rather precipitate? Wait a day or two.” “To-morrow,” said Flora, in a clear voice. “It’s no good, mother, going on like this. Whatever else I am, I’m not disloyal to my friends.” “M. Poirot,” Mrs. Ackroyd appealed tearfully, “can’t you say anything at all?”*","*They invent haphazard—and by miracle they are right. Not that it is that, really. Women observe subconsciously a thousand little details, without knowing that they are doing so. Their subconscious mind adds these little things together—and they call the result intuition. Me, I am very skilled in psychology. I know*",6564,7352,1000,1
6,69087,6,0,"*That particular tooth, it will never ache again.” Caroline collapsed rather like a pricked balloon. We fell to discussing Ralph Paton. “A weak nature,” I insisted. “But not a vicious one.” “Ah!” said Poirot. “But weakness, where does it end?” “Exactly,” said Caroline. “Take James here—weak as water, if I*","*And say what you will, I don’t believe Ralph Paton is a murderer. A boy we’ve known all our lives.” Poirot was silent for a minute, watching the curling smoke rise from his cigarette. When at last he spoke, it was in a gentle far-away voice that produced a curious*",14448,14858,1000,0
7,69087,7,0,"*“No, indeed I didn’t. I don’t even remember that it was in that position, but it must have been if you say so. Anyway, somebody else must have moved it back to its proper place. Have they destroyed a clew in doing so? Too bad!” “It is of no consequence,”*","*“Can you describe this young man to me, my good Parker?” “He was fair-haired, sir, and short. Very neatly dressed in a blue serge suit. A very presentable young man, sir, for his station in life.” Poirot turned to me. “The man you met outside the gate, doctor, was tall,*",13107,13348,1000,0
8,69087,8,0,"*But remember this—_a good laundry does not starch a handkerchief_.” He nodded at me triumphantly, then he put away the scrap carefully in his pocket-book. We walked back to the house together. There was no sign of the inspector. Poirot paused on the terrace and stood with his back to*","*“But you’re not going at once,” cried Flora. “Not—not while we’re in all this trouble. Oh! please. If you go——” She turned away a little. “You want me to stay?” asked Blunt. He spoke deliberately but quite simply. “We all——” “I meant you personally,” said Blunt, with directness. Flora turned*",5452,6261,1000,0
9,69087,9,0,"*I’m sure you will find her quite satisfactory. I didn’t know she was leaving Fernly. I hadn’t the least idea of it.” “Can you tell me anything about her?” I asked. “Anything about her?” “Yes, where she comes from, who her people are—that sort of thing?” Mrs. Folliott’s face wore*","*“It’s very interesting to hear about these things from the inside,” said my sister complacently. It would be—to Caroline. I could not but admire the ingenuity of M. Hercule Poirot, who had selected unerringly the case of all others that would most appeal to an elderly maiden lady living in*",14408,15082,1000,0
