,book_idx,excerpt_idx,excerpt_pos,excerpt_text
0,69087,0,0.39694283620900195,"*Never anything out of the ordinary.” “Good, we will be colleagues then. In a minute or two I fancy Major Blunt will join us. He is not happy with the good mamma. Now there are some things I want to know—but I do not wish to seem to want to know them. You comprehend? So it will be your part to ask the questions.” “What questions do you want me to ask?” I asked apprehensively. “I want you to introduce the name of Mrs. Ferrars.” “Yes?” “Speak of her in a natural fashion. Ask him if he was down here when her husband died. You understand the kind of thing I mean. And while he replies, watch his face without seeming to watch it. _C’est compris?_” There was no time for more, for at that minute, as Poirot had prophesied, Blunt left the others in his abrupt fashion and came over to us. I suggested strolling on the terrace, and he acquiesced. Poirot stayed behind. I stopped to examine a late rose. “How things change in the course of a day or so,” I observed. “I was up here last Wednesday, I remember, walking up and down this same terrace. Ackroyd was with me—full of spirits. And now—three days later—Ackroyd’s dead, poor fellow, Mrs. Ferrars’s dead—you knew her, didn’t you? But of course you did.” Blunt nodded his head. “Had you seen her since you’d been down this time?” “Went with Ackroyd to call. Last Tuesday, think it was. Fascinating*

"
1,69087,1,0.05105808323875472,"*Instead she changed the subject, and asked me if it was true that there were certain poisons so rare as to baffle detection. “Ah!” I said. “You’ve been reading detective stories.” She admitted that she had. “The essence of a detective story,” I said, “is to have a rare poison—if possible something from South America, that nobody has ever heard of—something that one obscure tribe of savages use to poison their arrows with. Death is instantaneous, and Western science is powerless to detect it. That is the kind of thing you mean?” “Yes. Is there really such a thing?” I shook my head regretfully. “I’m afraid there isn’t. There’s _curare_, of course.” I told her a good deal about curare, but she seemed to have lost interest once more. She asked me if I had any in my poison cupboard, and when I replied in the negative I fancy I fell in her estimation. She said she must be getting back, and I saw her out at the surgery door just as the luncheon gong went. I should never have suspected Miss Russell of a fondness for detective stories. It pleases me very much to think of her stepping out of the housekeeper’s room to rebuke a delinquent housemaid, and then returning to a comfortable perusal of _The Mystery of the Seventh Death_, or something of the kind. I told Caroline at lunch time that I should be dining at Fernly. She expressed no objection—on the contrary—— “Excellent,” she said.*

"
2,69087,2,0.6120074130475384,"*You came from the outer hall—so. Mademoiselle was—where?” “Here,” said Flora, taking up her stand just outside the study door. “Quite right, sir,” said Parker. “I had just closed the door,” continued Flora. “Yes, miss,” agreed Parker. “Your hand was still on the handle as it is now.” “Then _allez_,” said Poirot. “Play me the little comedy.” Flora stood with her hand on the door handle, and Parker came stepping through the door from the hall, bearing the tray. He stopped just inside the door. Flora spoke. “Oh! Parker. Mr. Ackroyd doesn’t want to be disturbed again to-night.” “Is that right?” she added in an undertone. “To the best of my recollection, Miss Flora,” said Parker, “but I fancy you used the word evening instead of night.” Then, raising his voice in a somewhat theatrical fashion: “Very good, miss. Shall I lock up as usual?” “Yes, please.” Parker retired through the door, Flora followed him, and started to ascend the main staircase. “Is that enough?” she asked over her shoulder. “Admirable,” declared the little man, rubbing his hands. “By the way, Parker, are you sure there were two glasses on the tray that evening? Who was the second one for?” “I always bring two glasses, sir,” said Parker. “Is there anything further?” “Nothing. I thank you.” Parker withdrew, dignified to the last. Poirot stood in the middle of the hall frowning. Flora came down and joined us. “Has your experiment been successful?” she asked. “I don’t quite understand, you know——”*

"
3,69087,3,0.864036662979298,"*The girl gave a half laugh, bitter enough in all conscience. “Do you think I haven’t gone over that again and again in my own mind? It was just half-past nine when I went out to meet him. Major Blunt was walking up and down the terrace, so I had to go round through the bushes to avoid him. It must have been about twenty-seven minutes to ten when I reached the summer-house. Ralph was waiting for me. I was with him ten minutes—not longer, for it was just a quarter to ten when I got back to the house.” I saw now the insistence of her question the other day. If only Ackroyd could have been proved to have been killed before a quarter to ten, and not after. I saw the reflection of that thought in Poirot’s next question. “Who left the summer-house first?” “I did.” “Leaving Ralph Paton in the summer-house?” “Yes—but you don’t think——” “Mademoiselle, it is of no importance what I think. What did you do when you got back to the house?” “I went up to my room.” “And stayed there until when?” “Until about ten o’clock.” “Is there any one who can prove that?” “Prove? That I was in my room, you mean? Oh! no. But surely—oh! I see, they might think—they might think——” I saw the dawning horror in her eyes. Poirot finished the sentence for her. “That it was _you_ who entered by the window and stabbed Mr. Ackroyd as he*

"
4,69087,4,0.3040067809272056,"*At a quarter past ten when the body is discovered, the door is locked and the window is open. Who opened it? Clearly only Mr. Ackroyd himself could have done so, and for one of two reasons. Either because the room became unbearably hot (but since the fire was nearly out and there was a sharp drop in temperature last night, that cannot be the reason), or because he admitted some one that way. And if he admitted some one that way, it must have been some one well known to him, since he had previously shown himself uneasy on the subject of that same window.” “It sounds very simple,” I said. “Everything is simple, if you arrange the facts methodically. We are concerned now with the personality of the person who was with him at nine-thirty last night. Everything goes to show that that was the individual admitted by the window, and though Mr. Ackroyd was seen alive later by Miss Flora, we cannot approach a solution of the mystery until we know who that visitor was. The window may have been left open after his departure and so afforded entrance to the murderer, or the same person may have returned a second time. Ah! here is the colonel who returns.” Colonel Melrose entered with an animated manner. “That telephone call has been traced at last,” he said. “It did not come from here. It was put through to Dr. Sheppard at 10.15 last night from a public call*

"
5,69087,5,0.9759506946140475,"*But supposing that you killed Ackroyd _before_ you left—as you were standing beside his chair? Then you go out of the front door, run round to the summer-house, take Ralph Paton’s shoes out of the bag you brought up with you that night, slip them on, walk through the mud in them, and leave prints on the window ledge, you climb in, lock the study door on the inside, run back to the summer-house, change back into your own shoes, and race down to the gate. (I went through similar actions the other day, when you were with Mrs. Ackroyd—it took ten minutes exactly.) Then home—and an alibi—since you had timed the dictaphone for half-past nine.” “My dear Poirot,” I said in a voice that sounded strange and forced to my own ears, “you’ve been brooding over this case too long. What on earth had I to gain by murdering Ackroyd?” “Safety. It was you who blackmailed Mrs. Ferrars. Who could have had a better knowledge of what killed Mr. Ferrars than the doctor who was attending him? When you spoke to me that first day in the garden, you mentioned a legacy received about a year ago. I have been unable to discover any trace of a legacy. You had to invent some way of accounting for Mrs. Ferrars’s twenty thousand pounds. It has not done you much good. You lost most of it in speculation—then you put the screw on too hard, and Mrs. Ferrars took a way*

"
6,69087,6,0.6254112373755513,"*“In the Shanghai Club,” said Colonel Carter, “they say ‘_Chow_.’” Miss Ganett retired, crushed. “What were you saying about Flora Ackroyd?” asked Caroline, after a moment or two devoted to the game. “Was she with any one?” “Very much so,” said Miss Ganett. The eyes of the two ladies met, and seemed to exchange information. “Really,” said Caroline interestedly. “Is that it? Well, it doesn’t surprise me in the least.” “We’re waiting for you to discard, Miss Caroline,” said the colonel. He sometimes affects the pose of the bluff male, intent on the game and indifferent to gossip. But nobody is deceived. “If you ask me,” said Miss Ganett. (“Was that a Bamboo you discarded, dear? Oh! no, I see now—it was a Circle.) As I was saying, if you ask me, Flora’s been exceedingly lucky. Exceedingly lucky she’s been.” “How’s that, Miss Ganett?” asked the colonel. “I’ll Pung that Green Dragon. How do you make out that Miss Flora’s been lucky? Very charming girl and all that, I know.” “I mayn’t know very much about crime,” said Miss Ganett, with the air of one who knows everything there is to know, “but I can tell you one thing. The first question that’s always asked is ‘Who last saw the deceased alive?’ And the person who did is regarded with suspicion. Now, Flora Ackroyd last saw her uncle alive. It might have looked very nasty for her—very nasty indeed. It’s my opinion—and I give it for what it’s worth, that*

"
7,69087,7,0.3787262775295588,"*No—why should I?” Poirot shrugged his shoulders but did not answer. He turned to Flora. “There is one thing I should like to know from you, mademoiselle. When you were examining the things in the silver table with Dr. Sheppard, was the dagger in its place, or was it not?” Flora’s chin shot up. “Inspector Raglan has been asking me that,” she said resentfully. “I’ve told him, and I’ll tell you. I’m perfectly certain the dagger was _not_ there. He thinks it was and that Ralph sneaked it later in the evening. And—and he doesn’t believe me. He thinks I’m saying it to—to shield Ralph.” “And aren’t you?” I asked gravely. Flora stamped her foot. “You, too, Dr. Sheppard! Oh! it’s too bad.” Poirot tactfully made a diversion. “It is true what I heard you say, Major Blunt. There is something that glitters in this pond. Let us see if I can reach it.” He knelt down by the pond, baring his arm to the elbow, and lowered it in very slowly, so as not to disturb the bottom of the pond. But in spite of all his precautions the mud eddied and swirled, and he was forced to draw his arm out again empty-handed. He gazed ruefully at the mud upon his arm. I offered him my handkerchief, which he accepted with fervent protestations of thanks. Blunt looked at his watch. “Nearly lunch time,” he said. “We’d better be getting back to the house.” “You will lunch with us,*

"
8,69087,8,0.5851566652779174,"*“I can exist comfortably without knowing exactly what my neighbors are doing and thinking.” “Stuff and nonsense, James,” said my sister. “You want to know just as much as I do. You’re not so honest, that’s all. You always have to pretend.” “Really, Caroline,” I said, and retired into my surgery. Ten minutes later Caroline tapped at the door and entered. In her hand she held what seemed to be a pot of jam. “I wonder, James,” she said, “if you would mind taking this pot of medlar jelly across to M. Poirot? I promised it to him. He has never tasted any home-made medlar jelly.” “Why can’t Annie go?” I asked coldly. “She’s doing some mending. I can’t spare her.” Caroline and I looked at each other. “Very well,” I said, rising. “But if I take the beastly thing, I shall just leave it at the door. You understand that?” My sister raised her eyebrows. “Naturally,” she said. “Who suggested you should do anything else?” The honors were with Caroline. “If you _do_ happen to see M. Poirot,” she said, as I opened the front door, “you might tell him about the boots.” It was a most subtle parting shot. I wanted dreadfully to understand the enigma of the boots. When the old lady with the Breton cap opened the door to me, I found myself asking if M. Poirot was in, quite automatically. Poirot sprang up to meet me, with every appearance of pleasure. “Sit down, my good*

"
9,69087,9,0.21576852902725302,"*She half stretched out her hand, and he took it in both of his, patting it as though she were a very small child, and she turned to him as though something in his stolid, rocklike demeanor promised comfort and safety. “It’s bad news, Flora,” he said quietly. “Bad news for all of us. Your Uncle Roger——” “Yes?” “It will be a shock to you. Bound to be. Poor Roger’s dead.” Flora drew away from him, her eyes dilating with horror. “When?” she whispered. “When?” “Very soon after you left him, I’m afraid,” said Blunt gravely. Flora raised her hand to her throat, gave a little cry, and I hurried to catch her as she fell. She had fainted, and Blunt and I carried her upstairs and laid her on her bed. Then I got him to wake Mrs. Ackroyd and tell her the news. Flora soon revived, and I brought her mother to her, telling her what to do for the girl. Then I hurried downstairs again. I met the inspector just coming from the door which led into the kitchen quarters. “How’s the young lady, doctor?” “Coming round nicely. Her mother’s with her.” “That’s good. I’ve been questioning the servants. They all declare that no one has been to the back door to-night. Your description of that stranger was rather vague. Can’t you give us something more definite to go upon?” “I’m afraid not,” I said regretfully. “It was a dark night, you see, and the fellow had*

"
