,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,*I considered it possible that her agitation might arise from the fact that she had been tampering with the silver*,"*“With special reference to cocaine?” asked Poirot. “How did you know?” I asked, somewhat surprised. For answer, the little man*",1159,1372,625,0
1,69087,1,0,*And a dreadful fluttering round the heart. And then I got a letter from a Scotch gentleman—as a matter of*,"*“Of course it wasn’t,” I said hastily. “You must forgive my unfortunate way of putting things.” “You see, men are*",1856,2241,625,0
2,69087,2,0,*The paper he had handed me was that compiled by the inspector and given by him to Poirot that morning.*,*“See this Mrs. Folliott. Find out all you can about Ursula Bourne.” “Very well. But—I don’t much care for the*,2069,2374,625,0
3,69087,3,0,"*“Eh—what? Haven’t I discarded? Oh! Eight Bamboos.” “Mah Jong!” said Miss Ganett. Caroline was very much annoyed. “One Red Dragon,”*","*I pointed out several objections to the theory, but when once Caroline has got something firmly into her head, nothing*",1182,1567,625,0
4,69087,4,0,*. . . . . . . . . . . . . . PATH . . . . .*,*+---+ HOUSE . | |LODGE -----------------+ +---+-------------- ] The inspector took in the position at a glance. We went through*,371,416,625,0
5,69087,5,0,"*Poirot raised his eyebrows. “You do not use your little gray cells,” he remarked dryly. “The scrap of starched cambric*","*Let us hear them.” I read out in a somewhat embarrassed voice. “To begin with, one must look at the*",1976,2163,625,0
6,69087,6,0,"*(Bitter for Caroline to have to admit such a thing.) “But I can guess,” continued my indefatigable sister. I waited*",*I send them to promenade themselves—alas! not only mentally but physically. I seize the biggest. I hurl him over the*,572,1186,625,0
7,69087,7,0,*But first of all I want to fix the time a little more clearly. When was Mr. Ackroyd last seen*,"*“June,” corrected Blunt. “Just so, June it was. Now, as I was saying, it wasn’t you with Mr. Ackroyd at*",2031,2281,625,0
8,69087,8,0,"*“Would you like to go with the inspector, M. Poirot?” asked the chief constable, “or would you prefer to examine*","*he asked over his shoulder. I assented, and joined him where he was studying the marks on the window-sill. “The*",1444,1696,625,1
9,69087,9,0,"*“I’ve known Ralph Paton from a boy upward. He’d never stoop to murder.” “Maybe not,” said the inspector tonelessly. “What*","*I assented, and joined him where he was studying the marks on the window-sill. “The rubber studs are the same*",1852,2278,625,0
10,69087,10,0,"*If, as you say, your master has been murdered——” A gasp broke from Parker. “The master? Murdered? Impossible, sir!” It*","*‘_Is that Dr. Sheppard? Parker, the butler at Fernly, speaking. Will you please come at once, sir. Mr. Ackroyd has*",1064,1157,625,1
11,69087,11,0,"*“How does it feel to be Methuselah?” asked Flora. This time the laughter was more apparent, but Blunt was following*","*“Will you really? You won’t forget?” “I shan’t forget,” said Hector Blunt. He added, in a sudden burst of communicativeness:—*",1238,1416,625,1
12,69087,12,0,"*“But no matter. What we have to look at is this—Captain Paton is missing, under circumstances which call for an*","*“I have had much experience,” said Poirot quietly. “But most of my successes have been obtained by the aid of*",247,617,625,1
13,69087,13,0,"*Does nothing strike you as odd about that?” “I don’t think so,” said Raymond. “He has frequently dictated letters to*","*Raymond had recovered from his first surprise. “All the same,” he remarked, “this discovery of yours, brilliant though it is*",1365,1743,625,0
14,69087,14,0,"*“Yes, Parker. I always come back to Parker—not as the murderer—no, he did not commit the murder; but who is*","*“Your hand was still on the handle as it is now.” “Then _allez_,” said Poirot. “Play me the little comedy.”*",436,946,625,1
15,69087,15,0,"*He came in fresh and debonair as ever, and greeted us both. “How are you, doctor? M. Poirot, this is*","*Still, when you thundered out that stuff about concealing things, I felt a nasty prick of conscience, and I thought*",1999,2231,625,1
16,69087,16,0,"*My God! It was murder in cold blood.” I saw the repulsion, the horror, in Ackroyd’s face. So Mrs. Ferrars*",*And she steadfastly refused to give me the name of the scoundrel who had been blackmailing her. I suppose she*,2105,2457,625,1
17,69087,17,0,"*“Let me see. This silver table is in front of one of the windows, I think you said, doctor?” Raymond*","*“They were both ajar.” “Well, I don’t think we need go into the question much further. Somebody—I’ll just say somebody—could*",2077,2109,625,0
18,69087,18,0,"*“Yes,” said Caroline firmly. “Was it all right about the boots?” asked Miss Ganett. “Their being black, I mean?” “Quite*","*Outwardly very respectful—but she shut me up in the most barefaced way.” Miss Ganett stopped for breath, and the colonel,*",1671,1994,625,0
19,69087,19,0,"*For the moment, even the interest of Poirot’s revelation was lost in the sight of the girl’s distress. Presently Ursula*","*At Fernly, despite an aloofness which, as has been seen, caused some comment, she was a success at her job—quick,*",13,513,625,1
20,69087,20,0,"*The bread of charity is so bitter, is it not? _I_ should be quite miserable if I did not work*","*“It’s worse than you know,” he said quietly. “Look here, Sheppard, I’ve got to talk to you. Can you come*",643,1095,625,1
21,69087,21,0,"*Parker hurried away, still wiping his perspiring brow. I did what little had to be done. I was careful not*","*He looked round the room. Raymond was still sorting the papers on the desk. “There seems nothing missing, and none*",28,348,625,1
22,69087,22,0,*No object was to be attained by moving it. Ackroyd had clearly been dead some little time. Then I heard*,"*“Ah! And everything points to the murderer having got clear away—for the moment, that is. Now then, let me hear*",1229,1710,625,0
23,69087,23,0,"*“It’s a great relief to people to be able to tell all their troubles to some one.” “It might be,”*","*“Good. I need also all those in the house—that is to say: Mrs. Ackroyd, Mademoiselle Flora, Major Blunt, M. Raymond.*",1791,2400,625,1
24,69087,24,0,"*“I might do that on my own account,” said Caroline. “No, this is a special thing M. Poirot wants me*",*A lot hangs on it.” Call me dense if you like. I didn’t see. “And how are you going to*,2324,2427,625,0
25,69087,25,0,"*In fact, I haven’t the least idea what to do next.” “What’s the matter?” I asked sympathetically. “It’s my confounded*","*Coming to dine? Or is this a professional call?” The last was in allusion to my black bag, which I*",1552,1813,625,1
26,69087,26,0,"*Poirot asked to see Miss Ackroyd, and presently Flora came to us. “Mademoiselle Flora,” said Poirot, “I have to confide*",*I am not yet satisfied of the innocence of Parker. I propose to make a little experiment with your assistance.*,2023,2048,625,0
