,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,*I asked apprehensively. “I want you to introduce the name of Mrs. Ferrars.” “Yes?” “Speak of her in a natural*,"*You understand the kind of thing I mean. And while he replies, watch his face without seeming to watch it.*",72,104,62,0
1,69087,1,0,"*“I’m afraid there isn’t. There’s _curare_, of course.” I told her a good deal about curare, but she seemed to*","*She said she must be getting back, and I saw her out at the surgery door just as the luncheon*",104,154,62,1
2,69087,2,0,"*Shall I lock up as usual?” “Yes, please.” Parker retired through the door, Flora followed him, and started to ascend*","*“By the way, Parker, are you sure there were two glasses on the tray that evening? Who was the second*",139,178,62,0
3,69087,3,0,*“Do you think I haven’t gone over that again and again in my own mind? It was just half-past nine*,"*Major Blunt was walking up and down the terrace, so I had to go round through the bushes to avoid*",11,38,62,0
4,69087,4,0,"*The window may have been left open after his departure and so afforded entrance to the murderer, or the same*",*here is the colonel who returns.” Colonel Melrose entered with an animated manner. “That telephone call has been traced at*,178,206,62,1
5,69087,5,0,"*When you spoke to me that first day in the garden, you mentioned a legacy received about a year ago.*",*You had to invent some way of accounting for Mrs. Ferrars’s twenty thousand pounds. It has not done you much*,178,209,62,0
6,69087,6,0,"*The eyes of the two ladies met, and seemed to exchange information. “Really,” said Caroline interestedly. “Is that it? Well,*","*“If you ask me,” said Miss Ganett. (“Was that a Bamboo you discarded, dear? Oh! no, I see now—it was*",43,102,62,0
7,69087,7,0,"*Flora’s chin shot up. “Inspector Raglan has been asking me that,” she said resentfully. “I’ve told him, and I’ll tell*","*“And aren’t you?” I asked gravely. Flora stamped her foot. “You, too, Dr. Sheppard! Oh! it’s too bad.” Poirot tactfully*",50,105,62,1
8,69087,8,0,"*“Naturally,” she said. “Who suggested you should do anything else?” The honors were with Caroline. “If you _do_ happen to*","*Poirot,” she said, as I opened the front door, “you might tell him about the boots.” It was a most*",156,178,62,0
9,69087,9,0,"*Flora drew away from him, her eyes dilating with horror. “When?” she whispered. “When?” “Very soon after you left him,*","*Flora raised her hand to her throat, gave a little cry, and I hurried to catch her as she fell.*",71,96,62,0
10,69087,10,0,"*“You do not use your little gray cells,” he remarked dryly. “The scrap of starched cambric should be obvious.” “Not*","*“Exactly the question,” said Poirot. “You will remember that Mrs. Ackroyd and her daughter came over from Canada to live*",130,174,62,1
11,69087,11,0,*I wish I could have known beforehand that Flora was going to say she’d seen her uncle alive at a*,"*In fact, all through the case there have been things that puzzled me hopelessly. Every one seems to have taken*",159,190,62,0
