,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,*I decided against that theory since in all probability a man as nervous as Ackroyd was that night would hear*,*What on earth had I to gain by murdering Ackroyd?” “Safety. It was you who blackmailed Mrs. Ferrars. Who could*,212,384,250,1
1,69087,1,0,"*demanded Flora, “on your way home—after uncle’s body was found?” I was momentarily silenced. I had hoped that that visit*",*“You had no idea that he was in King’s Abbot?” “No. I was astounded. I couldn’t understand it. I went*,0,53,250,1
2,69087,2,0,*That looks as though he were being supplied with money elsewhere. Then there is the fact that he was in*,"*“That is where we disagree, you and I. Three motives—it is almost too much. I am inclined to believe that,*",725,785,250,1
3,69087,3,0,*Ackroyd was not the kind of man to forgive the deceit that had been practiced upon him. His rancor was*,*Ralph charged Ursula with having irretrievably ruined his prospects by her ill-timed revelation. Ursula reproached Ralph with his duplicity. They*,704,799,250,1
4,69087,4,0,"*“That there was something fishy about Miss Russell.” “Ah!” said Caroline darkly, “Mrs. Ackroyd! There’s another!” “Another what?” Caroline refused*","*Had Poirot really come to gain information about Miss Russell, or was it only Caroline’s tortuous mind that interpreted everything*",535,602,250,1
5,69087,5,0,"*“You got all the local gossip anyway,” I remarked. “True, and untrue.” “And a great deal of valuable information,” he*","*What do you say—fishy?” I explained to the best of my ability. “And they say that, do they?” “Didn’t my*",0,134,250,0
6,69087,6,0,"*“Oh! quite so,” said the inspector hastily. Raymond opened the drawer, took out a round leather collar-box from the back*","*“You will find the hundred intact, I know, for Mr. Ackroyd put it in the collar-box in my presence last*",824,867,250,1
7,69087,7,0,"*“Very well,” I said, rising. “But if I take the beastly thing, I shall just leave it at the door.*","*Poirot was in, quite automatically. Poirot sprang up to meet me, with every appearance of pleasure. “Sit down, my good*",568,670,250,1
8,69087,8,0,"*Then he took a small sip of his chocolate, and carefully wiped his mustache. “I wish you’d tell me,” I*","*I raised my eyebrows. “Rather a suspicious attitude.” “But necessary—I assure you, necessary. Now first—Dr. Sheppard leaves the house at*",657,827,250,0
9,69087,9,0,"*He did not remind me in the least of any one I knew. “Now then, Kent,” said the superintendent, “stand*","*The man’s eyes narrowed. “So that’s it, is it? I saw an old gent had been croaked at Fernly. Trying*",495,703,250,1
10,69087,10,0,*Ralph charged Ursula with having irretrievably ruined his prospects by her ill-timed revelation. Ursula reproached Ralph with his duplicity. They*,"*It was Poirot’s voice speaking, and I knew from the gravity of his tone that he, too, was fully alive*",331,453,250,1
11,69087,11,0,"*Charles Kent, as we know from the barmaid of the Dog and Whistle, had on a pair of boots ‘clean*",*The first question I asked him when he came to my house yesterday morning was what he was wearing on*,96,312,250,1
12,69087,12,0,"*The inspector still took a minute or two to understand. “I am suggesting,” said Poirot placidly, “that the fingerprints on*","*What would be the point of it? You’re surely not suggesting suicide, Mr. Poirot?” “Ah! no. My theory is that*",267,310,250,1
13,69087,13,0,"*“I’m not very sure,” I said doubtfully. “How did you get hold of him?” inquired Poirot. “Description was circulated, as*","*This fellow has an American accent all right, and he doesn’t deny that he was near King’s Abbot that night.*",187,221,250,0
